component_id,name,purpose,responsibilities,inputs,outputs,owned_state,dependencies,failure_behaviour,execution_environment,classification,proposed_owner_role,required_tests,current_evidence_status,interfaces_consumed,interfaces_provided
C-01,Android application and acquisition service,"Own permissions, the user-started location foreground service, SensorManager/LocationManager callbacks, capabilities and live/replay source selection.",Preserve native samples; tag provider and clocks; expose lifecycle/context; never estimate or rewrite evidence.,Android callbacks; replay source; user commands,"I-01,I-02,I-04,I-17",Permission and service lifecycle only,Android SDK; C-20,Fail closed on missing mandatory accelerometer/gyro or permission; publish capability status,Android/Kotlin,production+demo,R5 Android/frontend,JVM; instrumentation; physical-device S1,S1 implementation verified; physical protocol incomplete,I-17,I-01;I-02;I-04
C-02,Session evidence writer,"Persist immutable, replayable source evidence and manifests.","Append JSONL chunks; sequence, hash, fsync, rotate, recover partial sessions, export ZIP.","I-01,I-02,I-04,I-13,I-14,I-15,I-07,I-16",I-18,Session/chunk lifecycle and loss counters,C-20,Mark INCOMPLETE or EVIDENCE_DEGRADED; never invent missing records,Android/Kotlin I/O thread,production,R4 testing/MLOps,Writer unit; crash recovery; low-storage; replay round-trip,S1 writer path verified synthetically; device durability pending,I-01;I-02;I-04;I-13;I-14;I-15;I-07;I-16,I-18
C-03,Timebase and sensor-quality adapter,Validate ordering/rates without destroying source timing or axes.,"Compute dt/age; retain arrival time; detect gaps, batching, non-monotonicity, saturation and missing streams; form bounded batches.","I-01,I-02","I-03,I-04,I-12",Per-stream last sequence/timestamp and health windows,C-20,Reject invalid core input while recording the raw event and typed reason,Android/Kotlin navigation executor,production,R5 Android/frontend,Property; fixtures; S1 replay,S1 contract verified; delivered rates device-specific,I-01;I-02,I-03;I-04;I-12
C-04,Calibration manager,Supply bias/noise priors and stationary evidence; never own the operational bias.,"Stationary detection, profile selection, prior covariance and validity.","I-03,I-04",I-05,Calibration evidence/profile only,C-20,Emit invalid/unavailable prior; core uses conservative initialization,Android/Kotlin with offline profile tooling,production+offline,R1 navigation lead,Synthetic stationary; replay; prior/core ownership invariant,Method not physically validated; S2 boundary frozen,I-03;I-04,I-05
C-05,Alignment and mount-state estimator,Own phone-body to vehicle rotation posterior and mount-change state outside S2.,Estimate alignment with covariance; gate observability; detect change; expose VALID/UNCERTAIN/SLIP_SUSPECTED.,"I-03,I-02,I-04,I-07",I-06,Alignment posterior and validity,C-20,Disable alignment-dependent learned/kinematic constraints; never fabricate yaw,Android/C++ experimental boundary,production experimental,R1 navigation lead,S3 controlled orientation/slip protocol; replay; absent magnetometer,S3 unresolved mandatory gate,I-03;I-02;I-04;I-07,I-06
C-06,Navigation-core JNI adapter,Batch canonical measurements into the C++ core without Android types or per-sample serialization.,Validate ABI/schema; copy/direct-buffer ownership; serialize calls on one executor; translate typed results.,"I-03,I-05,I-12,I-09,I-10","I-07,I-08,I-11",Core handle and ABI version only,C-07;C-20,Stop scientific output and publish CORE_FAULT; never restart as continuous state,Android/Kotlin+C++ JNI,production,R1 navigation lead + R5,JNI contract; lifecycle; malformed buffer; parity fixtures,Boundary selected; integration not executed,I-03;I-05;I-12;I-09;I-10,I-07;I-08;I-11
C-07,Canonical C++ navigation core,"Sole owner of S2 nominal state, operational biases, covariance, evidence-ID ledger, propagation and GNSS updates.",S2 midpoint propagation; ESKF covariance; innovation gates; Joseph update; reset Jacobian; numerical checks.,"I-03,I-05,I-12,I-09,I-10","I-07,I-08,I-11","p^n,v^n,q^n_b,b_a^b,b_g^b,P and evidence ledger",Eigen; C-20,Reject invalid dt/evidence; surface numeric fault; no state repair that hides defects,Portable C++20,production,R1 navigation lead,S2 unit; finite difference; C++/NumPy parity; fuzz/property,S2 bounded mathematical behaviour accepted; real-phone drift unproved,I-03;I-05;I-12;I-09;I-10,I-07;I-08;I-11
C-08,Learned-correction adapter,Run an optional bounded model and decide whether its proposal is eligible.,Window/mask/normalize; deadline; OOD/range checks; shadow mode; provenance; never mutate raw evidence.,"I-03,I-04,I-06,I-07,I-19","I-09,I-10","Window buffer, runtime/model identity and counters",ONNX Runtime Mobile provisional; C-20,Reject/timeout and continue classical baseline,Android runtime + offline parity,production experimental,R3 ML modelling,Golden tensors; timeout/OOD; disabled-model baseline; export parity,S4 unexecuted; IO-VNBD private experiment permitted conditionally,I-03;I-04;I-06;I-07;I-19,I-09;I-10
C-09,GNSS integrity and reacquisition controller,Convert one provenance-preserving location family into canonical gated updates and controlled return.,Quality state; covariance floors; outage hysteresis; consume evidence once; dwell/consistency on return.,"I-02,I-07,I-08,I-04","I-12,I-13,I-14,I-15",GNSS availability and reacquisition state,C-20,Reject inconsistent/stale fixes; remain DR/degraded; never privilege first return,Android/Kotlin policy + C++ gate,production,R1 navigation lead,Biased/intermittent return; duplicate ID; stale fix; state-machine fixtures,S2 single-update gate accepted; thresholds provisional,I-02;I-07;I-08;I-04,I-12;I-13;I-14;I-15
C-10,Road-graph store and top-K matcher,Generate bounded directed-road hypotheses without overwriting navigation state.,Verify graph manifest; spatial candidates; topology/direction/covariance scores; top-K; ambiguity and abstention.,"I-07,I-08,I-21","I-10,I-11",Verified map version and previous same-version hypotheses,SQLite; S6B1 graph,MISSING_MAP/NO_CANDIDATE/AMBIGUOUS; publish unmatched navigation,Android worker + desktop oracle,production,R1 navigation lead + R4,S6 fixtures; determinism; version mismatch; false-clear negatives,S6B1 deterministic graph and two route candidates accepted conditionally; runtime matcher unbuilt,I-07;I-08;I-21,I-10;I-11
