risk_id,description,likelihood,impact,evidence,mitigation,trigger,owner_role,residual_risk,required_decision_date
R-001,Consumer MEMS drift exceeds bounded blackout targets,High,High,S2 proves math only; no real drift result,"Classical baseline, covariance growth, bounded scenarios, S3/S4 evidence",Endpoint/max/RMSE exceeds gate,R1,High,Before performance claim
R-002,Android device variation in sensors/rates/OEM policy,High,High,S1 physical matrix incomplete,Three-tier protocol and capability profiles,Any named device misses predeclared gate,R5,Medium,Before supported-device claim
R-003,Phone moves relative to vehicle,High,High,S3 unresolved; IO-VNBD has no slips,"Alignment uncertainty, slip state, disable dependent constraints",Controlled slip not detected/recovered,R1,High,Before live car demo
R-004,Timestamp delivery latency/batching corrupts inference,Medium,High,S1 preserves clocks but no physical distributions,"Source/arrival clocks, gaps, masks, no interpolation",p99 age/gaps exceed component budget,R5,Medium,After S1 physical runs
R-005,Android background/screen-off collection stops,Medium,High,FGS design exists; screen-off untested,Visible location FGS and physical screen-off protocol,Event gap/service death during protocol,R5,Medium,Before unattended route run
R-006,Training/deployment preprocessing mismatch,Medium,High,S4 unexecuted,"One manifest, golden tensors, Android parity validator",Golden output outside tolerance,R3,Low,Before model-enabled build
R-007,IO-VNBD synchronization/schema limits bias results,High,High,Six schemas; no shared clock; duplicates,"Restricted subset, schema allowlist, parent grouping, caveats",Residual/unit/schema check fails,R2,Medium,Before each experiment
R-008,Dataset rights or weight redistribution disputed,Medium,High,No repository licence; organizer-directed private-use instruction,Private access; no raw public files; written permission before weights,Permission absent at release freeze,R2/R6,High,Before any public model release
R-009,Map tags do not prove access/safety/current drivability,High,High,S6B1-CONDITIONAL,Field permission/safety checklist; replay substitute,Route inspection/permission fails,R6,Medium,Before route selection
R-010,Map matcher expresses false confidence,Medium,High,Runtime matcher unbuilt; ambiguous fixtures identified,"Top-K, entropy/margin, abstention, zero false-CLEAR negative gate",Wrong road marked CLEAR,R1/R4,Medium,Before map feedback enabled
R-011,GNSS return produces jump or accepts multipath,Medium,High,S2 gate only; dwell thresholds provisional,"Candidate state, NIS, repeated consistency, display separation",Biased first return accepted,R1,Medium,Before demo integration
R-012,"Thermal, memory or battery pressure reduces rate",Medium,Medium,No physical profile,"Bounded queues, profiling, optional model/matcher shedding",Thermal severe or sustained rate miss,R4/R5,Medium,Before release candidate
R-013,Private route/sensor data exposed,Medium,High,Location recordings sensitive,"App-private storage, explicit export, gitignore/pre-commit/CI blockers",Private hash/path detected in public tree,R4/R6,Low,At repository bootstrap
R-014,Demo/replay is mistaken for live scientific success,Medium,High,Replay required for polish,Persistent mode badges; reference/input separation; demo script truth table,Missing/incorrect mode label,R6,Low,Before every demo
R-015,One-to-two-month schedule slips,High,High,Six-person team; several gates unresolved,"Critical-path scope, classical baseline first, replay in parallel, deferrals",Phase exit misses mandatory evidence,R1/R6,Medium,Weekly phase review
R-016,Inexperienced contributors alter core contracts,High,High,Team skill distribution stated,"Bounded packages, CODEOWNERS, mandatory lead review, contract fixtures",Unreviewed core/schema change,R1/R4,Low,At bootstrap
R-017,Public CI cannot access private data/GPU/device,High,Medium,IO-VNBD excluded from public CI,Synthetic fixtures PR; private/manual/nightly heavy lanes,PR depends on private bytes,R4,Low,At CI design
R-018,Map renderer/local assets fail on device or licence review,Medium,Medium,S6A renderer conditional; PMTiles not yet built/tested,Provisional MapLibre gate; local assets/notices; textual fallback,Airplane-mode first frame/licence gate fails,R5/R6,Medium,Before UI freeze
R-019,JNI lifetime/threading fault corrupts state,Medium,High,Boundary not integrated,"Single navigation executor, owned buffers, sanitizers/contract tests","Concurrent call, UAF, ABI mismatch",R1/R5,Low,Before live integration
R-020,Ground truth cannot support drift/lane claim,High,High,IO-VNBD reference configuration undocumented,Qualify exploratory plots; acquire documented reference; report multiple metrics,Reference uncertainty exceeds claim,R4/R6,High,Before performance claim
